Ligand ID,Stoichiometry,Denticity,Donors,Predicted Charge,Confident Charge,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
unq_CSD-PAHNUJ-01-d,C3H6N2,1,N,0,True,680d0faccea05160a2119c83dd340693,42,"PAHNUJ, PIDJET, LIHLOG, LIHLOG, LUMGIK, ... (37 more)","Pt(10), Ni(10), Cu(6), Zn(5), Co(4), ... (4 more)"
unq_CSD-PAHQOF-02-a,C6H10N4,2,N-N,0,True,1cb9f0bd8f20ba85d51d69ce17f00228,11,"PAHQOF, PAHQOF, POCKEZ, DOLZAF11, DOLZAF11, ... (6 more)","Cd(4), Cu(3), Co(2), Ni(2)"
unq_CSD-PAHWEB-02-a,C10H8N4,2,N-N,0,True,abad4b519b4b8657f51c5ed050531321,44,"PAHWEB, SUKDOU, SUKFAI, LORWEU, MABMIM, ... (39 more)","Ru(18), Cu(8), Re(8), Pt(3), Ni(2), ... (4 more)"
unq_CSD-PAHWOL-01-b,C6H7N1,1,N,0,True,9812d016313ed3086dd6f00c1bf74bea,131,"PAHWOL, PAHWOL, TECWEE, LIVMEJ, LONYIX, ... (126 more)","Pt(23), Cu(21), Ag(16), Pd(16), Zn(14), ... (8 more)"
unq_CSD-PAJGUE-02-a,C3H10N2,2,N-N,0,True,60c3f0f067d6241022eae405b5007fed,141,"PAJGUE, PAJHAL, PIJBUG, POTJUE, POWDUB, ... (136 more)","Cu(45), Ni(32), Co(24), Cr(11), Pt(11), ... (6 more)"
unq_CSD-PAJLER-01-a,C5H9N1,1,C,0,True,2fdac63a654466effaf34aef41fb24c1,863,"PAJLER, PAJLER, PAJLER, PAKKOC, PAKKOC, ... (858 more)","Ru(132), Fe(131), Pd(79), Pt(64), Mo(53), ... (22 more)"
unq_CSD-PAKCUA-02-a,C9H10N4O1,2,N-N,0,True,510d537158cf7f515f398fcede619601,49,"PAKCUA, PAKCUA, PAKCUA, MEGGAH, MEGGAH, ... (44 more)","Fe(25), Co(7), Mn(5), Cu(3), Ni(2), ... (6 more)"
unq_CSD-PAKFOX-02-a,C10H10N6,2,N-N,0,True,8d89a07a174118df86ed8bd6f18a7cc9,10,"PAKFOX, YEDCIV, YEDCOB, YEDCUH, GERHUH, ... (5 more)","Pt(6), Ru(2), Re(1), Ni(1)"
unq_CSD-PAKFUD-03-a,C10H10N6,3,N-N-N,0,True,dcd23d338bf246b901d587a6ddc5d482,74,"PAKFUD, PAKGAK, LUDDEU, MABROY, MABROY, ... (69 more)","Ru(27), Fe(20), Co(9), Os(2), Mo(2), ... (9 more)"
unq_CSD-PAKHEP-01-c,C4H11N1,1,N,0,True,af81cb37c17c640566a252c063c7577c,37,"PAKHEP, PATGAV, PATGAV, PATGOJ, PATGOJ, ... (32 more)","Cu(9), U(4), Pt(4), Au(3), Ti(2), ... (10 more)"
unq_CSD-PAKJIU-02-a,C10H8N2S1,2,N-N,0,True,d0ed289968b1bec1fe1db2dd340dc86e,20,"PAKJIU, SONBEF, TEHVUX, TEHVUX, LIMRII, ... (15 more)","Ru(7), Pd(3), Cu(3), Zn(3), Ni(2), ... (2 more)"
unq_CSD-PAKJUI-03-a,C12H13N3,3,N-N-N,0,True,7405c0cf693dbb67010ab685e652a918,99,"PAKJUI, PAYHEE, LEZDOK, LEZFEC, LULNEL, ... (94 more)","Cu(20), Pt(13), Zn(12), Fe(11), Pd(5), ... (14 more)"
unq_CSD-PAKTUR-01-a,C7H9N1,1,N,0,True,69e7832ca80a923066167b21cb168340,209,"PAKTUR, PAKTUR, PALNOI, PALNOI, PALNOI, ... (204 more)","Ni(40), Co(28), Zn(24), Cu(22), Cd(13), ... (20 more)"
unq_CSD-PAKVEF-01-a,N2,1,N,0,True,60aef06530deadddb1333674bfb08b38,432,"PAKVEF, PEMKUQ, PEVJEI, PEXGIL, PIGLEZ, ... (427 more)","Fe(121), Mo(87), Ru(57), Co(50), W(36), ... (9 more)"
unq_CSD-PALJAP-01-b,C5H8N2,1,C,0,True,ce299a4e39e23ec24ae0ccff15e3bb4c,212,"PALJAP, PALJAP, PAQJIC, POKXOF, SIXXII, ... (207 more)","Pd(25), Ru(21), Ir(21), Fe(18), Rh(17), ... (18 more)"
unq_CSD-PALTOM-01-b,C5H9N1,1,N,0,True,8dd265039685d8db8a0f1809064e1d76,66,"PALTOM, MEGDEJ, MEGDEJ, MEGDEJ, MEGDEJ, ... (61 more)","W(17), Ru(16), Fe(8), Mo(6), Cu(4), ... (9 more)"
unq_CSD-PALVED-01-a,C7H9N1,1,N,0,True,aeb548f59622884835a4b353e27a2153,27,"PALVED, PALVED, TUFZUS, TUFZUS, HITJUS, ... (22 more)","Ni(8), Zn(6), Cd(4), Cu(3), Fe(2), ... (2 more)"
unq_CSD-PALVON-01-a,C6H4N2,1,N,0,True,31bf4299756d0e0b14cb8791b0c573ba,172,"PALVON, PALVON, SISRIY, SISRIY, MAQCIS, ... (167 more)","Co(57), Fe(22), Ni(18), Mn(15), Ru(9), ... (11 more)"
unq_CSD-PALZOS-01-a,C8H11N1,1,N,0,True,01a42f6a926542266db7e74635de698d,53,"PALZOS, PEMYAH10, SSCEBC, SSCEBC01, SSCEBC03, ... (48 more)","Co(33), Pt(7), Zn(3), Ni(2), Pd(2), ... (4 more)"
unq_CSD-PALZUY-01-a,C3H9N1,1,N,0,True,e85e4965e3846d490aa8a1db3e8b065c,53,"PALZUY, TANNUR, NALRAT, NALRAT, TOPWAX, ... (48 more)","Pt(17), Nd(9), Tm(4), Eu(4), Au(3), ... (9 more)"
unq_CSD-PAMSON-01-d,C9H7N1,1,N,0,True,ac9f022ac8c04369dc115ab95caa84c7,93,"PAMSON, PAMSUT, PAMTAA, PAMTEE, SUBGOO, ... (88 more)","Co(23), Pt(16), Zn(11), Ni(7), Ag(7), ... (8 more)"
unq_CSD-PANBEO-01-a,C9H13N1,1,C,0,True,edbe2f41ae92ec5ed999e4302e2afea4,15,"PANBEO, SOCQIK, QEFVIG, QEFVUS, GOTLAF, ... (10 more)","Au(13), Pd(2)"
unq_CSD-PANFAN-02-a,C12H12N2,2,N-N,0,True,9c32a78e1cf048b410c40a9027c60ac8,6,"PANFAN, LUMTAP, LUMTET, FULGUR, HILFIT, ... (1 more)","Cu(2), Pd(2), Ru(1), Zn(1)"
unq_CSD-PANFER-01-d,C11H9N3,1,N,0,True,b45285b2784457d6501f7723f869c36c,3,"PANFER, VUXTOZ, VUXTOZ","Zn(2), Pd(1)"
unq_CSD-PANFUG-02-b,C8H6N4,2,N-N,0,True,0ab8581cd10cd5a1dbbfc8aafee0bc60,156,"PANFUG, PEXNEM, PEXNIQ, PEXNIQ01, PEXNIQ02, ... (151 more)","Ru(24), Re(18), Mn(16), Cu(11), Co(11), ... (24 more)"
unq_CSD-PANLAU-03-a,C11H9N5,3,N-N-N,0,True,1c3d147df1ba5dfbdd3894178e5822d2,101,"PANLAU, PANLAU, PEFQIA, PEFQIA, PEFQIA01, ... (96 more)","Fe(46), Cu(21), Zn(13), Co(9), Ru(3), ... (5 more)"
unq_CSD-PANPIE-02-a,C4H12N2,2,N-N,0,True,e9b8ac229e20f374719cc482374b41ad,6,"PANPIE, BOCFEE, BOCFEE, JAQDOV, JECYAR, ... (1 more)","Ni(3), Pd(2), Ru(1)"
unq_CSD-PAPJEX-03-a,C5H15N3,3,N-N-N,0,True,2aed4018bf2348e04c90cff197a105cc,25,"PAPJEX, PAPJEX, MAKPIX, MAKPOD, MAKPUJ, ... (20 more)","Co(10), Cd(5), Ni(4), Cu(3), Zn(2), ... (1 more)"
unq_CSD-PAPYOX-03-a,C8H9N3O1,3,O-N-N,0,True,aef4a2e0355c375d0c84c1dc00788094,14,"PAPYOX, PAPYOX, CAJGUS, CAJGUS, TORXIK, ... (9 more)","Cu(6), Zn(2), Eu(2), Pr(2), Ni(2)"
unq_CSD-PAQQUV-02-a,C6H14N2,2,N-N,0,True,eacf9980be9994344252bece443ce2d9,155,"PAQQUV, SIXYUT, SIXYUT, SUQKOG, TAJJUK, ... (150 more)","Cu(40), Pt(22), Ni(19), Cr(15), Co(13), ... (9 more)"
unq_CSD-PAQVOV-02-a,C12H12N2,2,N-N,0,True,37776efa9dc36f8895273fa609d9d027,116,"PAQVOV, PAQVOV, PAQVOV, SURDOB, SURPIH, ... (111 more)","Cu(22), Re(21), Co(11), Ru(10), Ni(9), ... (17 more)"
unq_CSD-PAQXUD-01-d,C9H9N1,1,C,0,True,0d35a679634955a959df9f1f61fe053d,747,"PAQXUD, PAQYEO, PAQYUE, PAQZAL, PAWQIO, ... (742 more)","Pd(150), Fe(85), Pt(77), Ru(60), Rh(40), ... (18 more)"
unq_CSD-PARGUL-03-a,C7H7,3,C-C-C,-1,True,26664f1664880cfc24c1a950e5fc4284,39,"PARGUL, PIFTIJ, POZWEH, SOFGOK, TATNOU, ... (34 more)","Ni(18), Pd(4), Rh(4), La(3), Pt(2), ... (8 more)"
unq_CSD-PARRUW-02-a,C5H14N2,2,N-N,0,True,19d0c1817e51fcb5ad66476cef3009ea,17,"PARRUW, PARRUW, PARSAD, PARSAD, BEVHAM, ... (12 more)","Ni(7), Co(4), Zn(2), Ru(2), Ti(1), ... (1 more)"
unq_CSD-PASFOF-03-a,C15H11N3,3,N-N-N,0,True,17085f9612ad4ac07688f378f711bdf3,967,"PASFOF, PASFUL, PAXFAW, PAXVAM, PEJBOY, ... (962 more)","Ru(334), Co(110), Pt(77), Cu(62), Os(41), ... (36 more)"
unq_CSD-PASGOF02-02-a,C8H12N2S2,2,N-N,0,True,ade750cc13055c1df7b631f357cfb2c1,15,"PASGOF02, PASGOF02, PIMGOH, BUXZUP, BUXZUP, ... (10 more)","Pt(10), Cu(3), Fe(2)"
unq_CSD-PASPEF-02-a,C11H8N2O1,2,N-N,0,True,8cf4d484bb70a2151db3424601e1e79a,34,"PASPEF, PASPIJ, TAWYEY, TAYKUC, TEGYAG, ... (29 more)","Pt(16), Ru(6), Zn(3), Re(3), Mn(2), ... (4 more)"
