metal,dist_P,dist_N,dist_Br,dist_C,complex,P_N_bite_angle,homo,lumo,hlgap,metal_charge,dir
Pd,2.262068734842659,2.261987146630921,2.472438024842224,1.991366889261114,LUREHIHA_PN_Pd,79.4169900169572,-7.381585020280743,0.04824628529467952,7.429831305575422,-0.411863497,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/LUREHIHA_PN_Pd
Pd,2.25700684581518,2.2367081347686857,2.4853250429531553,1.989563396211041,XOCITOLE_PN_Pd,83.67866424854675,-7.6658384955134045,0.2563224279611053,7.92216092347451,-0.282059278,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/XOCITOLE_PN_Pd
Pd,2.2779360007007456,2.257269621967488,2.493866615359499,1.9929415478962134,QIRAYITU_PN_Pd,84.52592300598808,-7.461496422643227,-0.39093341912256496,7.070563003520663,-0.437645657,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/QIRAYITU_PN_Pd
Pd,2.4315598345945637,2.1507308636479094,2.4486801087950556,2.0031557823711137,WIVOCITE_PN_Pd,83.72650863630265,-7.368187277160295,0.1437899298521348,7.51197720701243,-0.299824488,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/WIVOCITE_PN_Pd
Pd,2.2860062599711553,2.263694408126772,2.5074395778591163,1.9956890441984294,YOLILIJO_PN_Pd,89.24237672509089,-7.588926576913597,0.547427452393229,8.136354029306826,-0.410661805,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/YOLILIJO_PN_Pd
Pd,2.4047167746387856,2.2610641953284394,2.4492298643274304,1.9984650720283073,UKEYICED_PN_Pd,82.11698041019226,-7.419980856025379,0.622663666690273,8.042644522715651,-0.236759131,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/UKEYICED_PN_Pd
Pd,2.2897697513571984,2.314552101296869,2.4941630096269845,1.9885880305402743,ULUSOTUF_PN_Pd,84.7421354379369,-7.342034605468435,-0.060558795113231194,7.281475810355204,-0.45239982,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ULUSOTUF_PN_Pd
Pd,2.245092043634817,2.241906348324072,2.4923306697805048,1.9932391876763111,XOLAVOKO_PN_Pd,82.74340831852003,-7.616701972341528,-0.661467904507432,6.9552340678340965,-0.340222348,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/XOLAVOKO_PN_Pd
Pd,2.392905968382415,2.123345063583747,2.4522854416395825,2.0057853860861776,OKOPEFOH_PN_Pd,80.80757576159522,-7.342716985371333,0.4107611635498348,7.753478148921168,-0.325698116,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/OKOPEFOH_PN_Pd
Pd,2.4870601020366747,2.176237906141323,2.4484435914087714,1.9950672327970704,TEHAVIYU_PN_Pd,80.24210542483296,-7.414294057509319,-0.7448889714486183,6.669405086060701,-0.250204092,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/TEHAVIYU_PN_Pd
Pd,2.2652206983649084,2.2292717339732357,2.499740653742569,1.995226764313778,VOKEBIXI_PN_Pd,95.04184302753289,-7.787575402169456,1.030169466939252,8.817744869108708,-0.224156797,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/VOKEBIXI_PN_Pd
Pd,2.410565439271267,2.1600201624399396,2.4446428934082207,1.9968860969196953,FOFAHEXA_PN_Pd,77.82712360482508,-7.334341484321254,-0.08010963784680146,7.254231846474453,-0.246254947,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/FOFAHEXA_PN_Pd
Pd,2.4464082945672123,2.1606968714353325,2.4761785633783657,2.0078946563961693,QILUBEKE_PN_Pd,95.53473590112746,-7.166470721988053,0.30148933251278,7.467960054500833,-0.401974806,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/QILUBEKE_PN_Pd
Pd,2.3176968096217485,2.2053618423049204,2.4539664260917915,2.0289366638221904,ACUJUVAQ_PN_Pd,78.53382004368908,-7.2414013252195994,0.5048600242439957,7.7462613494635955,-0.321859405,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/ACUJUVAQ_PN_Pd
Pd,2.364673394356314,2.1669841364814295,2.4447477332849012,2.005223887189382,OLIGIDEB_PN_Pd,81.27894490041244,-7.35454318937099,-0.5924838433468,6.76205934602419,-0.289323841,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/OLIGIDEB_PN_Pd
Pd,2.3035584765948163,2.1802650372173673,2.482153184608505,1.995046596958901,LUJONUNU_PN_Pd,88.53428371507356,-7.411883890712672,-0.9837042174092712,6.428179673303401,-0.428720493,../output/gaussian_relaxed_complexes/batches/P_N_Donors_Pd_Metal_Centre/complexes/LUJONUNU_PN_Pd
