Ligand ID,Stoichiometry,Denticity,Formal Charge,Donors,Number of Atoms,Molecular Weight,Ligand Planarity,Haptic,Beta-Hydrogen,Max. Interatomic Distance,Avg. M-D Bond Length,Graph ID,CSD Occurrences,CSD Complex IDs,CSD Metal Count
unq_CSD-FAHPIQ-01-a,C15H9O6,1,-1,O,30,285.231,0.237655482,FALSE,FALSE,12.20057667,2.210395279,8b119db4bccd2b89cb03f2601610b420,4,"FAHPIQ, FAHPIQ, FAHPOW, FAHPOW","Co(2), Cd(2)"
unq_CSD-FAHQAG-04-a,C10H14,4,0,C-C-C-C,24,134.222,0.135315996,TRUE,TRUE,5.328879069,2.219687338,6ff50cc7b559521268a278ec76638d6d,1,FAHQAG,Pd(1)
unq_CSD-FAHSEP01-02-a,C22H35N3O2,2,0,O-N,62,373.541,0.072950882,FALSE,FALSE,13.1099031,2.076741814,5be445709052880dddcfa353582cc555,1,FAHSEP01,Fe(1)
unq_CSD-FAHSIT01-02-a,C11H17N5,2,0,N-N,33,219.292,0.135538568,FALSE,FALSE,9.550671517,2.247480967,058752275b215e56b2d371c80e529c21,2,"FAHSIT01, FAHSIT01",Fe(2)
unq_CSD-FAHXOB-04-a,C58H37Cl2N4,4,-1,N-N-N-N,101,860.862,0.046375492,FALSE,TRUE,17.35030962,2.210495314,61f4abea353c4cf06a63b69014dc8f4f,1,FAHXOB,Fe(1)
unq_CSD-FAHZOE-01-a,C28H19P1,1,0,P,48,386.433762,0.124950256,FALSE,FALSE,18.78889524,2.294603439,129e7797898f46c52c2791c538579675,2,"FAHZOE, FAHZOE",Pt(2)
unq_CSD-FAHZUK-01-a,C26H23P1,1,0,P,50,366.443762,0.115519884,FALSE,FALSE,16.39666184,2.2883991,e04a635fdadf6804bd30959817c02e82,2,"FAHZUK, FAHZUK",Pt(2)
unq_CSD-FAJCEB-02-a,C21H25N3,2,0,N-N,49,319.452,0.095720747,FALSE,FALSE,12.57186848,2.05045566,fa58d5977ad9fc1f523d348d071de555,3,"FAJCEB, FAJCEB, FAJCIF",Cu(3)
unq_CSD-FAJDOJ-04-a,C20H16N4O2,4,-2,N-N-N-N,42,344.374,0.155002414,FALSE,FALSE,10.85085975,1.902288539,5f0adb7a31a4530cf15be5e5d58918b6,2,"FAJDOJ, QUGFEE","Ni(1), Pd(1)"
unq_CSD-FAJHIL-01-a,C24H22N4S1,1,0,N,51,398.528,0.133563307,FALSE,FALSE,15.97722148,1.962231941,a536bf3b9441aaefb465ddb8ce8f021e,2,"FAJHIL, FAJHIL",Cu(2)
unq_CSD-FAJJEH-02-b,C13H22N2,2,0,N-N,37,206.333,0.120506302,FALSE,TRUE,10.67954376,2.19798701,48b8d8bc091a88b05df3ed9176748fbc,2,"FAJJEH, FAJJOR","Ni(1), Pd(1)"
unq_CSD-FAJKUA-03-a,C26H21N1O2P1,3,-1,O-N-C,51,410.432762,0.064779264,FALSE,TRUE,13.02689123,2.037650987,bec9264cb866bba476bee89f212cbabd,1,FAJKUA,Pd(1)
unq_CSD-FAJLAF-01-b,C8H10N1O1,1,-1,C,20,136.174,0.227452001,FALSE,FALSE,6.600235779,1.99899585,09fb4790d98ffcc191ee48e0b8260dc9,2,"FAJLAF, FAJLAF",Pd(2)
unq_CSD-FAJLEJ-01-b,C10H15N1O1,1,0,C,27,165.236,0.200548707,FALSE,FALSE,8.438096179,1.986360624,03fe78cce53d2df916daa004819de149,2,"FAJLEJ, FAJLEJ",Pd(2)
unq_CSD-FAJREN-02-a,C9H14S2,2,0,S-S,25,186.331,0.142089174,FALSE,TRUE,5.591163393,2.28048827,53f0161e1de80739ef7d2c0c6f3bace2,3,"FAJREN, FAJSAK, FAJSAK",Pd(3)
unq_CSD-FAJRIR-02-a,C10H14S2,2,0,S-S,26,198.342,0.142017264,FALSE,TRUE,5.871541206,2.28351903,4676082138541506166c9c8ad79d875d,1,FAJRIR,Pd(1)
unq_CSD-FAJROX-01-b,C10H14O1S1,1,0,S,26,182.281,0.142327643,FALSE,TRUE,5.899453347,2.322361544,0d0096e47e06cd2aab2f8cad09c0fc29,2,"FAJROX, FAJROX",Pd(2)
unq_CSD-FAJRUD-02-a,C8H12S2,2,0,S-S,22,172.304,0.146342247,FALSE,TRUE,4.943889406,2.337606757,6275e8a43cd5f98ebd26059f3fedc87e,2,"FAJRUD, FAJRUD",Pd(2)
unq_CSD-FAJSAM-03-a,C18H22Cl1N4,3,-1,N-N-N,45,329.852,0.119622324,FALSE,TRUE,11.52500055,2.032648464,895b5914364b2a08f2e44317a5e3f805,1,FAJSAM,Pd(1)
unq_CSD-FAJVET-02-a,C19H22N3Se1,2,-1,Se-N,45,371.377,0.099849047,FALSE,FALSE,12.99470422,2.119594854,e0c13645cd69771dcbe1b3b4696da7db,3,"FAJVET, FAJVET, FAJVIX","Ni(2), Pd(1)"
